Subclass,GAEC_Mean(%),CGJ_Mean(%),Mean_Improvement(%)
CPn,-1.4921397450962103e-15,2.627481762108066,2.6274817621080673
b,-2.55351295663786e-16,3.4970427005963147,3.497042700596315
rand,-1.2656542480726785e-15,7.398993854073581,7.398993854073582
p,-2.960594732333751e-18,7.512858476961328,7.512858476961328
unif,-1.4788170688007085e-15,7.873985707090278,7.87398570709028
