Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
knott-3d-150/gm_knott_3d_036,4091.0,4146.0,1.3444145685651432
knott-3d-150/gm_knott_3d_037,5775.0,5777.0,0.03463203463203463
knott-3d-150/gm_knott_3d_038,10841.0,10827.0,-0.12913937828613595
knott-3d-150/gm_knott_3d_039,4630.0,4624.0,-0.12958963282937366
knott-3d-300/gm_knott_3d_072,43619.0,44155.6,1.2301978495609678
knott-3d-300/gm_knott_3d_073,65928.0,65748.0,-0.2730251183108846
knott-3d-300/gm_knott_3d_074,85804.0,85813.0,0.010489021490839589
knott-3d-300/gm_knott_3d_075,74915.0,74924.0,0.012013615430821597
knott-3d-300/gm_knott_3d_076,58145.0,58173.95,0.04978931980393343
knott-3d-300/gm_knott_3d_077,63530.0,63404.95,-0.19683614040611191
knott-3d-300/gm_knott_3d_078,107131.0,107012.0,-0.11107895940484079
knott-3d-300/gm_knott_3d_079,42061.75,41687.5,-0.8897632647238881
knott-3d-450/gm_knott_3d_096,228508.0,228461.9,-0.02017434838167846
knott-3d-450/gm_knott_3d_097,292614.0,292454.0,-0.05467954369920783
knott-3d-450/gm_knott_3d_098,227993.0,227726.7,-0.11680183163517667
knott-3d-450/gm_knott_3d_099,284228.0,284005.9,-0.07814149204159221
knott-3d-450/gm_knott_3d_100,229067.95,229099.35,0.01370772297040864
knott-3d-450/gm_knott_3d_101,280629.0,280381.5,-0.08819473397261153
knott-3d-450/gm_knott_3d_102,294463.0,294353.0,-0.03735613642461022
knott-3d-450/gm_knott_3d_103,283040.35,282416.45,-0.22042793545159378
