Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
knott-3d-150/gm_knott_3d_037,5775.0,5778.0,0.05194805194805195
knott-3d-150/gm_knott_3d_038,10841.0,10838.0,-0.02767272391845771
knott-3d-150/gm_knott_3d_039,4630.0,4629.0,-0.02159827213822894
knott-3d-300/gm_knott_3d_072,43619.0,44047.3,0.9819115523051947
knott-3d-300/gm_knott_3d_073,65928.0,65749.4,-0.2709015896129199
knott-3d-300/gm_knott_3d_074,85804.0,85787.0,-0.019812596149363666
knott-3d-300/gm_knott_3d_075,74915.0,74929.0,0.018687846225722483
knott-3d-300/gm_knott_3d_076,58145.0,58186.5,0.07137329091065439
knott-3d-300/gm_knott_3d_077,63530.0,63407.4,-0.19297969463245482
knott-3d-300/gm_knott_3d_078,107131.0,107012.7,-0.11042555376128563
knott-3d-300/gm_knott_3d_079,42062.5,42022.5,-0.0950965824665676
knott-3d-450/gm_knott_3d_096,228508.0,228443.35,-0.02829222609273819
knott-3d-450/gm_knott_3d_097,292614.0,292437.0,-0.06048924521724866
knott-3d-450/gm_knott_3d_098,227993.0,227649.9,-0.15048707635761002
knott-3d-450/gm_knott_3d_099,284228.0,283971.9,-0.09010371954908619
knott-3d-450/gm_knott_3d_100,229066.6,229050.2,-0.0071594898601516676
knott-3d-450/gm_knott_3d_101,280629.0,280286.85,-0.1219225382979034
knott-3d-450/gm_knott_3d_102,294463.0,294200.3,-0.08921324580677764
knott-3d-450/gm_knott_3d_103,283040.8,282538.1,-0.17760690331570986
