Run,Cost
1,7673.755704010833
2,7672.902831824909
3,7672.768256292237
4,7673.95005431198
5,7678.857729690903
6,7670.253819882276
7,7680.980266694964
8,7673.755703995504
9,7673.457150112983
10,7676.477777257866
11,7677.144296178725
12,7672.343756149977
13,7675.557973158642
14,7679.834354970727
15,7672.343756107639
16,7677.334654375214
17,7673.899432177361
18,7677.144296348612
19,7675.022345510624
20,7675.036411591516
