Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
MCF/boc_5,70.2,70.05,-0.21367521367522177
MCF/boc_6,73.9,74.15,0.3382949932341001
MCF/boc_7,74.85,76.05,1.6032064128256553
MCF/boc_8,53.55,58.05,8.403361344537815
MCF/boc_9,86.95,87.05,0.11500862564691697
MCF/boe_91,70.65,77.2,9.271054493984424
MCF/bur_69,96.25,97.1,0.8831168831168771
MCF/bur_73,114.15,121.5,6.4388961892247
MCF/bur_75,60.3,63.75,5.7213930348258755
MCF/bur_91,63.9,68.95,7.9029733959311494
MCF/can_97,126.55,145.9,15.290399051758206
MCF/cha_86,99.5,100.9,1.4070351758794029
MCF/cha_87,337.25,343.0,1.704966641957005
MCF/gro_80,43.45,46.4,6.789413118527032
MCF/ira_95,33.6,35.65,6.101190476190467
MCF/kat_97,156.9,165.7,5.608667941363915
MCF/kin_80,36.75,39.15,6.530612244897956
MCF/lee_97,114.6,114.7,0.0872600349040214
MCF/mas_97,38.8,39.7,2.3195876288659942
MCF/mcc_72,37.45,40.75,8.811748998664878
MCF/mil_91,39.15,43.0,9.833971902937424
MCF/nai_96a,107.95,112.4,4.122278832792962
MCF/nai_96b,88.0,92.0,4.545454545454546
MCF/nai_96c,78.75,85.85,9.015873015873009
MCF/nai_96d,66.1,71.1,7.564296520423601
MCF/rog_05,49.1,54.4,10.794297352342152
MCF/sei_88,52.65,53.4,1.4245014245014245
MCF/sul_91,42.0,44.95,7.023809523809531
Random/CPn100-1,28965.25,31924.0,10.214826386791069
Random/CPn100-2,29099.35,29252.0,0.524582164206422
Random/CPn100-3,30485.55,34713.0,13.867061607876522
Random/CPn100-4,30072.85,29699.0,-1.2431478892090326
Random/CPn35-1,6498.8,6810.0,4.788576352557392
Random/CPn35-2,6293.7,6627.0,5.295771962438632
Random/CPn35-3,6515.45,6602.0,1.328381002079675
Random/CPn35-4,6583.5,7643.0,16.093263461684515
Random/CPn45-1,9602.8,9503.0,-1.0392802099387604
Random/CPn45-2,10176.4,10989.0,7.985142093471173
Random/CPn45-3,10108.15,9841.0,-2.64291685422159
Random/CPn45-4,8483.3,7712.0,-9.091980715051918
Random/CPn50-1,10970.55,12640.0,15.217559739484354
Random/CPn50-2,11737.7,12704.0,8.232447583427751
Random/CPn50-3,10388.4,10407.0,0.17904585884255866
Random/CPn50-4,11097.15,11672.0,5.180158869619681
Random/CPn65-1,16523.95,15920.0,-3.6549977456964027
Random/CPn65-2,16448.35,17375.0,5.633695781035797
Random/CPn65-3,16236.55,16140.0,-0.5946460300987542
Random/CPn65-4,15327.0,16236.0,5.930710510863182
Random/b2500-10,824353.8,868782.15,5.389475975000051
Random/b2500-1,828047.6,875794.4,5.7661902528308815
Random/b2500-2,815401.15,869403.0,6.622734098425048
Random/b2500-3,845790.25,894827.8,5.797838175599688
Random/b2500-4,817121.3,869401.1,6.398046410000563
Random/b2500-5,822998.5,860922.35,4.608009613626267
Random/b2500-6,821379.85,869370.05,5.84263176166302
Random/b2500-7,822216.6,868625.7,5.644388595413907
Random/b2500-8,830810.25,888361.1,6.927075105296303
Random/b2500-9,829268.3,876849.85,5.737775096431387
Random/gauss500-100-1,219691.0,231973.5,5.59080708813743
Random/gauss500-100-2,216339.0,238126.65,10.071069016682149
Random/gauss500-100-3,201911.55,220575.15,9.243453383424576
Random/gauss500-100-4,216326.65,233032.95,7.722719322838873
Random/gauss500-100-5,218630.65,239622.55,9.601535740757297
Random/p1000-1,683245.05,737451.1,7.933617667628902
Random/p1000-2,668798.9,735660.0,9.997190485809707
Random/p1000-3,659459.35,733552.0,11.23536272554177
Random/p1000-4,661223.8,722630.5,9.286825428848742
Random/p1000-5,692886.95,749026.0,8.102194737539804
Random/p1500-1,1235514.1,1333515.4,7.932026028679058
Random/p1500-2,1246330.65,1345072.0,7.922564529725727
Random/p1500-3,1209934.3,1313223.7,8.536777575443551
Random/p1500-4,1237223.65,1367666.9,10.543223127039319
Random/p1500-5,1198347.2,1305003.3,8.900266967703525
Random/p2000-1,1891896.7,2043153.45,7.99497932418826
Random/p2000-2,1882482.25,2040264.5,8.381606254189117
Random/p2000-3,1944612.05,2119402.3,8.988438079461647
Random/p2000-4,1905913.35,2051403.05,7.633594675224871
Random/p2000-5,1908379.65,2033627.4,6.5630415834710885
Random/p500-100-10,240190.7,267049.0,11.182073244301293
Random/p500-100-1,236976.8,266615.5,12.50700490512152
Random/p500-100-2,246122.45,268891.6,9.251147142408165
Random/p500-100-3,237464.0,257244.0,8.329683657312266
Random/p500-100-4,236285.65,251167.75,6.298351169442581
Random/p500-100-5,235415.2,262618.0,11.555243671606586
Random/p500-100-6,245076.4,270859.0,10.520229610031812
Random/p500-100-7,239357.65,260289.0,8.744800928652168
Random/p500-100-8,234918.7,260230.8,10.774834017045036
Random/p500-100-9,233700.15,263714.0,12.842888633148078
Random/p500-5-10,13616.95,14876.5,9.249868729781626
Random/p500-5-1,14622.5,15590.6,6.620618909215254
Random/p500-5-2,13490.35,14924.5,10.630932481366306
Random/p500-5-3,13042.2,14373.25,10.205716826915697
Random/p500-5-4,12885.35,14245.7,10.55733837264801
Random/p500-5-5,12893.75,14183.45,10.002520601066415
Random/p500-5-6,12742.3,14149.5,11.043532172370771
Random/p500-5-7,12578.65,14276.85,13.500653885750863
Random/p500-5-8,12750.9,14112.75,10.680422558407646
Random/p500-5-9,12883.2,14033.95,8.93217523596622
Random/rand100-100,20249.15,22195.0,9.609539165841522
Random/rand100-5,1137.65,1280.45,12.552190919878692
Random/rand200-100,59251.0,65289.0,10.190545307252199
Random/rand200-5,3223.7,3630.35,12.614387194838233
Random/rand300-100,125035.1,138790.0,11.000830966664555
Random/rand300-5,6043.05,6743.55,11.591828629582745
Random/rand400-100,171108.0,189539.05,10.771588704210199
Random/rand400-5,9217.75,10064.4,9.184996338585877
Random/rand500-100,237110.2,262135.2,10.554164266235698
Random/rand500-5,13304.5,14637.65,10.020293885527451
Random/regnier300-50,26240.8,29134.2,11.026340660345726
Random/sym300-50,14279.6,15279.2,7.000196083923922
Random/unif700-100-1,398846.1,434977.0,9.058857539286464
Random/unif700-100-2,399149.2,439055.15,9.99775272003552
Random/unif700-100-3,399395.45,435311.2,8.99252858288696
Random/unif700-100-4,387843.7,427330.5,10.181111617901745
Random/unif700-100-5,395257.7,422818.0,6.972742086997923
Random/unif800-100-1,493605.2,536242.5,8.637935742978394
Random/unif800-100-2,477013.05,516054.8,8.18462933037157
Random/unif800-100-3,486220.2,541415.0,11.351811380933986
Random/unif800-100-4,485169.95,525243.2,8.259631496138608
Random/unif800-100-5,481568.5,520461.7,8.076358814997246
Random/zahn300,1948.0,2149.35,10.336242299794657
