Run,Cost
1,7409.570348079809
2,7405.070568320008
3,7409.219091419088
4,7405.070568320707
5,7404.7193116900835
6,7409.219091417602
7,7404.719311715455
8,7409.219091412654
9,7409.570348030251
10,7409.570348075578
11,7404.719311647704
12,7409.219091508781
13,7405.07056826786
14,7409.219091478345
15,7405.070568279127
16,7409.219091498969
17,7409.570348072466
18,7409.219091428433
19,7405.07056830988
20,7409.219091426744
