Run,Cost
1,11077.999999998676
2,11077.99999999187
3,11078.000000000651
4,11077.999999991926
5,11078.000000013986
6,11078.000000005917
7,11077.999999998909
8,11077.999999993823
9,11078.00000000646
10,11078.000000003754
11,11077.999999990905
12,11077.999999986343
13,11077.999999990521
14,11078.000000005819
15,11078.000000002112
16,11077.999999987664
17,11078.00000000048
18,11077.999999998288
19,11077.999999989566
20,11077.999999999844
