Run,Cost
1,229074.8415842562
2,229061.04203060342
3,229061.90025983335
4,229073.9833554711
5,229074.84158421404
6,229061.9002595664
7,229061.90025945124
8,229061.39967134767
9,229074.84158448945
10,229074.4839435026
11,229074.8415842792
12,229061.54261905566
13,229074.34099594646
14,229074.4839437534
15,229074.34099603136
16,229061.39967139615
17,229061.39967158882
18,229073.98335517477
19,229061.90025976938
20,229061.3996715235
