Category,Mean_Instance_Improvement
ABR,2.7158508740946328
Artificial,1081.403318903319
ClusEdit,7.59834347176785
Correlation,4.786205619608694
Equicut,3.1640394681639794
MCF,4.5505649159997414
Random,-1.7526857185370408
