Run,Cost
1,966.9999999965206
2,967.0000000098461
3,967.0000000054582
4,966.9999999970229
5,966.9999999937455
6,966.9999999928485
7,967.0000000007292
8,967.0000000015775
9,966.9999999911457
10,966.9999999809403
11,967.0000000121646
12,966.9999999938109
13,967.0000000034821
14,966.9999999777807
15,967.0000000053275
16,966.9999999966853
17,967.0000000086575
18,966.9999999980433
19,967.0000000031224
20,966.9999999910427
