Run,Cost
1,7405.86891263448
2,7407.187457614325
3,7407.187457674535
4,7407.187457645936
5,7407.18745761773
6,7405.868912660677
7,7405.868912646754
8,7405.868912712379
9,7407.187457620196
10,7407.1874576146565
11,7405.868912793995
12,7405.868912657879
13,7407.187457689878
14,7405.868912740663
15,7407.187457588903
16,7407.187457561829
17,7405.8689127397265
18,7405.868912708793
19,7407.187457595636
20,7407.187457643811
