Subclass,GAEC_Mean(%),UGJ_Mean(%),Mean_Improvement(%)
CPn,2.7355895326763858e-15,4.110212696508113,4.1102126965081105
b,-1.1679546219056646e-15,5.873416508428711,5.873416508428712
rand,-6.032211767130017e-16,9.926818276362322,9.926818276362322
p,-4.250568151422028e-16,9.525192741230098,9.525192741230098
unif,-1.070254995738651e-15,8.971335931252844,8.971335931252845
