Subclass,GAEC_Mean(%),LGJ_Mean(%),Mean_Improvement(%)
CPn,-1.1479706074624118e-15,7.35818148005034,7.358181480050341
b,-2.6645352591003756e-17,-27.291188824885435,-27.291188824885435
rand,-1.0707484281940398e-15,-1.1317127792771615,-1.1317127792771604
p,-7.168868673293868e-16,-0.3255826267351815,-0.3255826267351808
unif,-3.9968028886505634e-17,-0.5485291213376978,-0.5485291213376978
